,review_title,review,rate,category,rating
0,Does the job,Purchased GOAT Green on 1st day sale. Battery charging speed with Samsung 25w C to C Adopter is good and enough and lasts around 40 hrs of normal use. I don't love hyper charging as it would damage the battery in future because my M30s lasts for 3 year 6 months without any problem until it was stolen by using the original 15 w charger only.  we can restrict signal distortions by using power saving mode as in most of areas there is conflict between 4g and 5g signals of network.The microphon...READ MORE,3Does the job,samsung-galaxy-f14-5g-goat-green-128-gb,3
1,Terrific purchase,"Excellent mid budget phoneIn this price worth of every penny. Processor- it's working very fine without any lag.Battery- it's last a couples of the day Design- it looks premium phoneDisplay- very fine, and of course corning gorilla glass.Camra - this segment Could be better.Charging adopter is not included in box. This is disappointed. You have to purchase separately.Overall very dashing and premium. Must go ahead.READ MORE",5Terrific purchase,samsung-galaxy-f14-5g-goat-green-128-gb,5
2,Just okay,It is okay to use as a secondary device and budget wise it justified for it's price. Those who wants  samsung brand it will be good choice in budget and usable phone for 3 years atleast. Rest your choice.READ MORE,3Just okay,samsung-galaxy-f14-5g-goat-green-128-gb,3
3,Don't waste your money,"Display - Very Bad. Even the cheapest Redmi phone has better LCD display.Battery - Slowly charges when turned on.Software- Not optimized. Android 13 / One Ui Core 5.1Looks - Huge bezels.Performance - Extreme heating issues even if a single app is open.Usage - Very uncomfortable holding, conversing, even keeping in pocket as most of the times it's warm to hot.Speakers and Camera are good for the price range.Processor- Exynos 1330 needs to be optimized as it gets hot.Final Verdict after...READ MORE",1Don't waste your money,samsung-galaxy-f14-5g-goat-green-128-gb,1
4,Terrific purchase,"RECEIVED YESTERDAY.Battery- Very good at this range,6000mah is enough can last for at least days.Performance- Performance is top notch. It beated my old device poco x3 in gaming and editing test.Display- Display is good as it is 90hz panel.Camera- There are 2 camera rear and 1 front all are too good using AI it improves the photo.This phone is value for money.READ MORE",5Terrific purchase,samsung-galaxy-f14-5g-goat-green-128-gb,5
5,Fabulous!,"Simple look best phone, value for money 💰 mobile performance is good, Battery 5/5Display quality is best 5/5Mobile look 5/45G network Airtel/Jio 5/5Both camera 5/5Sound quality is good but single speaker 5/4Gaming performance is good 5/4Processor is good for (multitasking)5/5Build quality is good 5/5Everything is good 👍 this phone is multitasking not any problem.READ MORE",5Fabulous!,samsung-galaxy-f14-5g-goat-green-128-gb,5
6,Perfect product!,Nice mobile everything is fine samsung better then Chinese mobile this time good work samsung but not give the charger very shameful for samsungREAD MORE,5Perfect product!,samsung-galaxy-f14-5g-goat-green-128-gb,5
7,Good quality product,Camera : Decent camera. Don't expect much. I had Redmi note 9 pro max. Which has 64 mp and 32 mp camera back and front resp. The photo quality is inferior to that.  Low light photography is not advisable.  However in good lighting condition clicks nice.pics.Processor: Above average.  Played COD without any issue in media graphics settings. Battery: it seems like 5000mah while using. Doesn't seems to be extraordinary Battery. Although on paper it is 6000msh.Display: 90hz refresh rate is OK.READ MORE,4Good quality product,samsung-galaxy-f14-5g-goat-green-128-gb,4
8,Fabulous!,Nice lovely osm great mobile in this price camera battery performance screen all of thing Great 👍 go for it 👍READ MORE,5Fabulous!,samsung-galaxy-f14-5g-goat-green-128-gb,5
9,Terrific,Good camera QualityREAD MORE,5Terrific,samsung-galaxy-f14-5g-goat-green-128-gb,5
