,Unnamed: 0,review_title,review,rate,category,rating,Polarity,Analysis,summarization
0,0,Awesome,WORTH FOR MONEY. A1 AND LONG LASTING QUALITY. MUST BUY. ITS 90 DEGREE JACK ANGLE PROVIDES SAFETY TO YOUR EARPHONES EVEN IN YOUR TIGHT POCKET. PLACEMENT OF MIC IS REALLY AWSOME MIC IS PLACED JUST RIGHT SIDE OR YOUR EARPHONES SO YOU CAN TALK EASILY. ???? ????????? ??? ???????.. ???? ????????? ???? ????? ??? ???????. ??? ??? ????? ?????? ??? ??? ????? ?? ???? ???? ?????.READ MORE,5Awesome,redmi-mi-hi-resolution-audio-wired-headset,5,0.1863095238095238,Positive, ? ??? ? ???????? ? ?? ? ? ??? ? ???????? ? ??? ? ???? ? ?? ? ? ?? ? ?? ? ???? ? ? ?? ? ?? ? ???? ? ? ? ??? ? ??? ? ???
1,1,Great product,Very good product and sound quality is very nice I am happy because i am buying this product 😌READ MORE,5Great product,redmi-mi-hi-resolution-audio-wired-headset,5,0.6779999999999999,Positive, Very good product and sound quality is very nice I am happy because i am buying this product 😌READ MORE
2,2,Slightly disappointed,"Kinda good with great sound effects three different size of buds 😉 Worth it, but it's been 2 months since I purchased and now it's already not working in left bud and the audio is available only in the right bud ☹️READ MORE",2Slightly disappointed,redmi-mi-hi-resolution-audio-wired-headset,2,0.3385714285714285,Positive," Kinda good with great sound effects three different size of buds 😉 Worth it, but it's been 2 months since I purchased and now it's already not working in left bud and the audio is available only in the right bud ☹️READ MORE"
3,3,Delightful,"Though I have received it today, they were running late as the delivery date was yesterday but still I'm satisfied because I have limited budget to spend.. Sound and bass is really good, overall a smart product and Very comfortable to use.. Let's check its durability and hoping that it will give some affirmative outcomes... 😇READ MORE",4Delightful,redmi-mi-hi-resolution-audio-wired-headset,4,0.2648051948051948,Positive," Though I have received it today, they were running late as the delivery date was yesterday but still I'm satisfied because I have limited budget to spend.. Sound and bass is really good, overall a smart product and Very comfortable to use.. Let's check its durability and hoping that it will give some affirmative outcomes... 😇READ MORE"
4,4,Good choice,Red colour looks stunning 😍.Sound quality is crystal clear 😀.Base is a little dim 🙂.Built quality is above ok 😎.L-type earphone Jack is reliable 😄.Overall it's a worth buying 🎶🎶.READ MORE,4Good choice,redmi-mi-hi-resolution-audio-wired-headset,4,0.2013888888888889,Positive, Red colour looks stunning 😍.Sound quality is crystal clear 😀.Base is a little dim 🙂.Built quality is above ok 😎.L-type earphone Jack is reliable 😄.Overall it's a worth buying 🎶🎶.READ MORE
5,5,Terrific purchase,"Very Nice , Super and Perfect good quality Of this Redmi Headphones , I am a very very happy with this Headphones so thanks for Flipkart again .READ MORE",5Terrific purchase,redmi-mi-hi-resolution-audio-wired-headset,5,0.6447619047619048,Positive," Very Nice , Super and Perfect good quality Of this Redmi Headphones , I am a very very happy with this Headphones so thanks for Flipkart again .READ MORE"
6,6,Really Nice,In budget one of the best earphone i really love of his sound and bass quality well and balanced sound output without any hesitation go for it.READ MORE,4Really Nice,redmi-mi-hi-resolution-audio-wired-headset,4,0.44166666666666665,Positive, In budget one of the best earphone i really love of his sound and bass quality well and balanced sound output without any hesitation go for it.READ MORE
7,7,Decent product,"I used it for like 12 to 13 hours a day....it was very good at first but slowly after like 3 months it was only hearable to one side or the quality was getting bad, so i had to change otherwise it was good for the price i must say....mic was superb, nice product 🙏READ MORE",3Decent product,redmi-mi-hi-resolution-audio-wired-headset,3,0.3288888888888889,Positive," I used it for like 12 to 13 hours a day....it was very good at first but slowly after like 3 months it was only hearable to one side or the quality was getting bad, so i had to change otherwise it was good for the price i must say....mic was superb, nice product 🙏READ MORE"
8,8,Must buy!,"Awesome package at this budget price. Very very good sound quality. I also have boat nirvana which is 50 rs cheaper but this one sounds wayy better. Good clarity an most importantly balanced soundstage. The bass is nice and just right. Not overwhelming or non existent. Just soft and punchy. Give it some time to burn in and it would sound better with respect to bass.Build quality is very good. Good quality materials, sturdy. The earpiece is made of metal which is bery surprising at this price...READ MORE",5Must buy!,redmi-mi-hi-resolution-audio-wired-headset,5,0.4836507936507936,Positive," Awesome package at this budget price. Very very good sound quality. I also have boat nirvana which is 50 rs cheaper but this one sounds wayy better. Good clarity an most importantly balanced soundstage. The bass is nice and just right. Not overwhelming or non existent. Just soft and punchy. Give it some time to burn in and it would sound better with respect to bass.Build quality is very good. Good quality materials, sturdy. The earpiece is made of metal which is bery surprising at this price...READ MORE"
9,9,Fabulous!,GoodREAD MORE,5Fabulous!,redmi-mi-hi-resolution-audio-wired-headset,5,0.5,Positive, GoodREAD MORE
